CPF,Nome,Idade,Sexo,Email,Nota ENEM,Abandono,Qual Semestre,CRA após o 2º Semestre,CRA após o 4º Semestre,CRA após o 6º Semestre
23003043532,Johnathan Baker,26,Feminino,ivanrodriguez@example.org,649,False,,5.76,5.19,6.57
83990541366,Dawn Williams,26,Feminino,andrea87@example.org,733,True,6.0,8.15,8.9,5.41
22858085508,Brandon Brown,18,Masculino,james01@example.net,727,True,4.0,6.15,8.25,9.28
82871242412,Kathryn Cooper,23,Feminino,hwilson@example.com,744,True,6.0,6.4,7.41,9.35
40415716168,Larry Coleman,28,Masculino,bhess@example.com,649,False,,8.74,8.3,8.43
42471711877,Jane Harmon,21,Feminino,austinlee@example.com,679,False,,9.79,6.7,5.14
45402531964,Derek Odonnell,19,Feminino,yrodriguez@example.net,715,False,,8.24,6.33,8.62
72568078984,Amber Sanchez,18,Masculino,danielskimberly@example.com,730,True,2.0,6.12,5.1,7.77
90434218724,Cindy Hall,24,Feminino,osharp@example.com,653,False,,8.8,5.91,9.43
67221833608,Roberta Frazier,22,Feminino,mitchellstacey@example.com,668,True,8.0,5.14,5.74,7.51
58697820070,Jeremy Pierce,26,Masculino,adamhernandez@example.org,777,True,2.0,5.2,5.35,7.1
14430131662,Joshua Matthews,28,Feminino,lori99@example.com,671,False,,9.55,7.54,7.6
56397366825,Matthew Fisher,26,Masculino,sara98@example.org,645,True,3.0,9.8,6.73,9.68
98521787289,Russell Rodriguez,27,Masculino,jporter@example.org,719,True,3.0,6.67,5.35,8.78
32716775195,Scott Reese,18,Feminino,wadejessica@example.com,738,False,,6.7,6.65,6.48
55003135499,Stacy Gould,24,Masculino,halljulie@example.org,738,False,,7.49,6.3,6.3
54035561310,Tyler Cameron,25,Feminino,andrew69@example.org,705,True,6.0,7.99,9.76,7.52
76106880458,Jessica Lopez,21,Feminino,rspencer@example.org,662,False,,8.6,9.27,6.45
36666910971,Sara Lutz,28,Feminino,mcknightann@example.com,765,False,,5.0,5.16,5.8
96930378501,Tina Vang,23,Feminino,alexander15@example.org,679,True,7.0,5.86,7.93,6.57
75036041923,David Duke,28,Feminino,scottwhite@example.org,697,False,,6.87,6.46,7.15
90046449654,Mackenzie Cooper,20,Feminino,jamesphillips@example.com,697,False,,5.42,6.7,5.48
59275801013,Heather Manning,18,Feminino,garciaanthony@example.com,726,False,,7.75,6.73,6.53
63931037357,Melinda Richards,19,Feminino,anna37@example.org,680,True,7.0,8.14,9.26,6.21
63991941965,Robert Anderson,27,Feminino,amandalane@example.net,677,False,,5.15,6.92,6.83
75765299821,Joseph Silva,25,Feminino,emily61@example.net,664,False,,5.63,8.6,7.64
40045454520,Nathaniel Thomas,24,Masculino,rward@example.com,738,True,7.0,9.25,8.55,5.76
43401516823,Julia Wilson,24,Feminino,courtney73@example.org,787,True,5.0,9.22,9.23,8.2
